album_id,name,popularity,release_date,total_tracks,track_ids
7mlBE7JyEDy9DwL5U4hLou,The Devil Dancing,38,2009-11-10,13,"['2bpWyCj94RZBXCMdvkV0Mt', '2DcPnGcFIF6MCH3hRyeM4O', '6vbPxV9pE5fZ0mQbhFaldU', '5pZoyuic13A2YgGdHqrOCL', '7CZNqEkSzKrEjLYLAKqyMj', '5dOj4kG2LtL2gY0h2Btxfo', '3gs4aaJrk0StKUzLtWgEvX', '4O14LGeLDBPrbfcFGkNeBz', '32t23Uma0MPsIQ3xOD5uhJ', '3xiijykHlxwG50bMUMljvS', '4EntiFqf8JugXicrCP1T05', '7mXexMh0GPEjyhHXByhDuh', '5Fl878FX9b1GN8Snq1Zs23']"
7An7LDqGOP3TKDlbH5yQQJ,The Magnolia Sessions,4,2022-01-21,9,"['1Lpfb2xUprqwni5ojFDIpN', '7JfCHAZjbTrqgOMYaw2vfA', '4KEO7KksIkMe7vbrfvf9xH', '43Ix3qoR8bngJFJMwvt03K', '3yLRn5yTgU8lWaHcpwsBRs', '3KN7k5PH4iILersEtiUCqf', '0PQfhUnyZ0f43sTuGB7PH0', '2ALbVBo5qtTtvNJj6RWf9z', '1taxBNK2Gom18aBZ1tbCh8']"
4oKgaUV0tZgsL6yqNJYjaj,Till Next Time,64,2023-06-23,8,"['5PspcXQtSiTDRPa8V5PHYf', '3qwtDfrHnLkRyoRJwuRieH', '0T1qLI20fGOjS3TVmIZNdM', '6s76TusfjCKQLT5jLrMQQM', '2tajeMdv7OCe3T50IFNHoz', '0qczuXyZQElZLvOnMYKnqm', '6cF9l6IUC4ftyTJc7igP9d', '2ngNeWCODoaj7RdwQAJDna']"
55VCE8PQdrElkCenxy1tBe,Spin The Globe 2,58,2024-02-23,9,"['0VOvzOQzCrnt1T4zeXhPiy', '38dshpsYpjnzQBUqzsrAcP', '4UqBLPogp8Dnvi6UMzTtt7', '6058Hj1ro0eG23MVZKvA22', '6mFrcJ4WbxxN4B6ykaXWxd', '78GfWt85z1MEzllLvH678t', '3UyLPNegNat7PwkYP5ZjLn', '7Lyr5TLa4s2nbH8gYUJ3wm', '7eQUd4wXVFldWkd257KEjS']"
7gyFLyq4QsFKOcspPEmXWS,The Golden Rule,28,2023-08-25,17,"['04rACPoz6UsymLXkYZDEup', '4skIJq73rrJSsNWJstvgeB', '6dS1CFCtgjKEIVOYeWJwJa', '1FPAiaLGHTVZWykNuivvhD', '62FguOOvZqOnwiWyP9Hpg9', '30TFO6PhfyAwQ7HUoG77Vd', '7G0jXXEMiHEevTJeIOzqOB', '4cuDruZmHUMKuCQcyIHOAD', '6oHN84YxYJLFBon1wVAedR', '48O5x1wZZojdNNhdSaZnjS', '6YWpsu08dsJXJg4O5m0o6K', '5fg8UhkZ9fThiFVimUBLfn', '4WYfFJXBHQtynFed9jFh1C', '7Bwzz0niFlVgswmVxaGtkL', '4Oun4jZW75BNyfUokaOVKc', '4bqnpMqzIIWDKQMa2XwSu3', '50Y3uundDyUMfYfesvxHXb']"
4BgdMSYvxluQ9lY9j5dWMn,"Medieval Lofi, Vol. 8",39,2022-11-13,10,"['1HxC8VeDaDMUdANHd7cPLc', '6l0RlNeWcyhdWDDrVVQWpL', '7b4mMbkN0PKhMp3MQuzn73', '5eimbl127bEI0coYu7SxmH', '7Ht031sSaoJ5B9ChXHKfDA', '5pDv7tyVHDOqZIMpoLH0SQ', '65WajKf5LBdSTBq5XgoNAO', '7wvcGJDrnDVsS7gyZA6WZ2', '0KkBsqdAn88NFCLDl1728U', '2IMO0zM5ZCe30VlX7opU0d']"
5ASwxssTkz7SW7WdaGviYR,Follow Your Heart,40,2022-06-03,11,"['3ZXZmvQKLRoKGB1Us45zAI', '33xrRG42I3uL3z63WydpPp', '6WqP8wREuUyeF6IMVAklQR', '5NYgmOgnN3JpLq16iM2w8l', '7xxtKcdUVoe8Rnlbl7l1nt', '6FDYdQVBdVVUIJEX0kKAL7', '0WZ5paMR4zJAdjkBgCVAYN', '0DLL5nIaS9R1cfW6amXACG', '6KiWFNyMCXE7dvuj1eU5u0', '5cUMiTb4IoNWwYRcBUwwVM', '7i2y7AJJgvRKJGHkVvbLWS']"
4GRRGsQBwwd2kKaEXZqVNd,Barchords,54,2012-01-01,12,"['6IBpFG2LU2udYofIuROp3w', '0Mr6X2X4lHCAA9iuzmh7Iu', '2mhQfEYTmFf6AStG6kzrzP', '1GoUkWEssQGaV0Qzt3eLlP', '7m3DDmv4uf1rqzKxwK2AWT', '4dGKkpvFcYEislh6W2YniB', '1r6Bs6LRzcSOqPu4FHc4Ku', '7okw8UnZc31ijFQLfpbLUA', '6mMUsmdlvnCYklEzxMcXNE', '7227xVANeZu1TjzEVq8H95', '662blrSxIyMfB8hNAskPFO', '5dFs0TLNK1e9J3iN5A1gAS']"
52ZIdjV2wJ5QMqeDevcpKM,SPLAT,57,2022-05-20,1,['71rw9MB77BR8LHMFZK8gKV']
6DzYh2Z00xNWG8wtfB6kIY,Songs of the Plains,52,2018-10-12,11,"['4pKmkKqR9lBaOBvtPazIGT', '1JaQxqZ5FCWtDY3DfKzIBc', '66Ca5hnT9mxshajDCzLcfQ', '38H2ENCTFleUe2CGS2fhR4', '4cCbKZseFVqFHwOKqzxNrP', '3HOvQ8hExcNftjC1QxgYA9', '6GRNch6kIuhm1ggtdtQEBH', '54bdhXF18Yhz6n7Z6iZqCq', '4PIfUlIwf3vP0weMF8UHbO', '6BXK66e242pUkWNTFmNEVG', '5qGqAl2TYixQ1JUsJeohl1']"
