artist_id,name,genres,popularity
5zzbSFZMVpvxSlWAkqqtHP,Brown Bird,"['maine indie', 'new americana', 'rhode island indie', 'stomp and holler']",40
5h1kWxDtGo9b2snl7BxtoJ,Cooper McBean,[],1
1XlLhtgJjC4ROQZilBZAvw,Nic D,['singer-songwriter pop'],65
5zixe6AbgXPqt4c1uSl94L,Connor Price,['singer-songwriter pop'],71
1JPy5PsJtkhftfdr6saN2i,Bassnectar,"['bass music', 'breakbeat', 'brostep', 'edm', 'glitch hop']",49
04BsFJHz7AXSMplf200Xrt,Medieval Lofi,[],46
1mHuZMOP8FG5ip4yAb1vrB,Michael Franti & Spearhead,['reggae fusion'],51
4C50EbCS11M0VbGyH3OfLt,Bahamas,"['canadian indie', 'canadian singer-songwriter', 'indie folk', 'stomp and holler']",56
3xYXYzm9H3RzyQgBrYwIcx,Colter Wall,"['canadian americana', 'canadian contemporary country', 'outlaw country', 'saskatchewan indie']",66
61Z4ARbgYmgk3nsXcyazoa,Neukrapsio,[],27
06HL4z0CvFAxyc27GXpf02,Taylor Swift,['pop'],100
5lbM4g6bhxjNX7R5QHP2nD,Xavier Rudd,"['australian indie folk', 'australian reggae fusion']",57
3ZWab2LEVkNKiBPIClTwof,Townes Van Zandt,"['alternative country', 'classic texas country', 'cosmic american', 'folk', 'outlaw country', 'roots rock', 'singer-songwriter']",49
2qc41rNTtdLK0tV3mJn2Pm,Ryan Adams,"['alternative country', 'new americana', 'roots rock', 'singer-songwriter']",51
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']",70
6q6eylLazY3ORi6YqH9x4x,Brandon Jenner,['pop folk'],33
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']",69
67ps5pbKVO7V9Fcb4lTIXz,Wind Rose,"['fantasy metal', 'italian folk metal', 'italian power metal', 'middle earth', 'tolkien metal']",52
2NjfBq1NflQcKSeiDooVjY,Tones And I,['australian pop'],66
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,[],79
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"['art pop', 'pop']",85
1scVfBymTr3CeZ4imMj1QJ,Forrest Frank,[],68
63knPlGzLHTNDf1J78Fvte,The Devil Makes Three,"['new americana', 'western americana']",51
26C2AjqgMr5aDzj6Yp2ORz,Brent Cobb,"['modern southern rock', 'new americana', 'roots americana', 'southern americana']",54
28WNtilgFPn1mdz3h0FjHl,Mackenzy Mackay,['singer-songwriter pop'],60
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"['canadian pop', 'pop']",85
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",75
22PU1TSXSiqGGk4mSVMxYj,Sam James,[],48
3cdvlbCYf4WoBdy89RWkNS,Iron Butterfly,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'progressive rock', 'proto-metal', 'psychedelic rock', 'symphonic rock']",38
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",75
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,"['modern rock', 'pop', 'rock']",84
0Mzpp7PoB7PZwCryMUFzbE,Crazy Monkey,[],40
2FXC3k01G6Gw61bmprjgqS,Hozier,"['irish singer-songwriter', 'modern rock', 'pov: indie']",84
1ZN1c1qWEGZNX1pGeKCPpf,Billy Strings,"['jam band', 'jamgrass', 'new americana', 'progressive bluegrass']",57
7osFcSwjlRPwxZdVALIOuC,Henrik,[],61
