track_id,artist_id,artist_ids,name,duration_ms,explicit,popularity,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
32t23Uma0MPsIQ3xOD5uhJ,5zzbSFZMVpvxSlWAkqqtHP,['5zzbSFZMVpvxSlWAkqqtHP'],Gallows,155550,False,26,7mlBE7JyEDy9DwL5U4hLou,0.653,0.57,2,-8.152,0,0.0471,0.769,0.0299,0.0815,0.719,113.849,4
43Ix3qoR8bngJFJMwvt03K,5h1kWxDtGo9b2snl7BxtoJ,['5h1kWxDtGo9b2snl7BxtoJ'],Hard Times,212664,False,7,7An7LDqGOP3TKDlbH5yQQJ,0.599,0.433,0,-7.188,0,0.0332,0.786,0.0,0.37,0.521,73.583,4
2ngNeWCODoaj7RdwQAJDna,1XlLhtgJjC4ROQZilBZAvw,"['1XlLhtgJjC4ROQZilBZAvw', '5zixe6AbgXPqt4c1uSl94L']",Gasoline,103235,False,68,4oKgaUV0tZgsL6yqNJYjaj,0.665,0.541,11,-7.792,1,0.309,0.186,0.0,0.164,0.894,200.235,4
3UyLPNegNat7PwkYP5ZjLn,5zixe6AbgXPqt4c1uSl94L,"['5zixe6AbgXPqt4c1uSl94L', '2R4dpXgKNBna1nbMHVcYdf']",Customs,133302,False,55,55VCE8PQdrElkCenxy1tBe,0.905,0.594,11,-5.783,1,0.249,0.065,0.0,0.106,0.935,145.119,4
04rACPoz6UsymLXkYZDEup,1JPy5PsJtkhftfdr6saN2i,['1JPy5PsJtkhftfdr6saN2i'],The Golden Rule,267272,False,27,7gyFLyq4QsFKOcspPEmXWS,0.426,0.906,10,-4.993,0,0.0339,0.00137,0.916,0.0665,0.191,87.99,4
1HxC8VeDaDMUdANHd7cPLc,04BsFJHz7AXSMplf200Xrt,['04BsFJHz7AXSMplf200Xrt'],"Nokron, The Eternal City",102375,False,40,4BgdMSYvxluQ9lY9j5dWMn,0.195,0.26,9,-19.721,0,0.0475,0.904,0.401,0.0859,0.0844,128.779,4
6FDYdQVBdVVUIJEX0kKAL7,1mHuZMOP8FG5ip4yAb1vrB,['1mHuZMOP8FG5ip4yAb1vrB'],No Makeup,190816,False,30,5ASwxssTkz7SW7WdaGviYR,0.633,0.727,1,-7.04,1,0.0402,0.334,0.000883,0.0668,0.752,156.054,4
6IBpFG2LU2udYofIuROp3w,4C50EbCS11M0VbGyH3OfLt,['4C50EbCS11M0VbGyH3OfLt'],Lost In The Light,236720,False,67,4GRRGsQBwwd2kKaEXZqVNd,0.597,0.267,2,-8.796,1,0.031,0.793,0.0014,0.111,0.247,75.545,4
71rw9MB77BR8LHMFZK8gKV,5zixe6AbgXPqt4c1uSl94L,['5zixe6AbgXPqt4c1uSl94L'],SPLAT,125685,False,70,52ZIdjV2wJ5QMqeDevcpKM,0.908,0.45,7,-7.174,1,0.314,0.0608,0.0,0.0663,0.515,108.056,4
1JaQxqZ5FCWtDY3DfKzIBc,3xYXYzm9H3RzyQgBrYwIcx,['3xYXYzm9H3RzyQgBrYwIcx'],Saskatchewan in 1881,171653,False,58,6DzYh2Z00xNWG8wtfB6kIY,0.626,0.389,0,-10.68,1,0.0619,0.69,4.2e-05,0.129,0.538,76.447,4
